Name,Age,Gender,Height_cm,Weight_kg,BMI,BMR,Goal,Daily_Caloric_Intake,Time_to_Goal,Recommended_Caloric_Intake,Diet_Plan,Workout_Plan
Person_23,21,Male,165,70,25.71166207529844,1631.25,Maintain,2160,68,2200,"Balanced diet: Breakfast - Oatmeal, Lunch - Quinoa Salad, Dinner - Vegetable Stir Fry","Cardio: Running, Cycling, Swimming"
Person_24,39,Female,164,78,29.000594883997625,1449.0,Lose,2697,112,1800,"High-protein diet: Breakfast - Protein Shake, Lunch - Steak, Dinner - Cottage Cheese","Mixed: Cardio + Weightlifting, Yoga, HIIT"
Person_25,28,Female,191,80,21.929223431375238,1692.75,Gain,1953,88,2500,"Low-carb diet: Breakfast - Eggs, Lunch - Chicken Salad, Dinner - Grilled Fish","Weightlifting: Squats, Deadlifts, Bench Press"
Person_26,48,Female,198,80,20.40608101214162,1636.5,Gain,2891,175,2500,"High-protein diet: Breakfast - Protein Shake, Lunch - Steak, Dinner - Cottage Cheese","Cardio: Running, Cycling, Swimming"
Person_27,38,Male,182,58,17.509962564907617,1532.5,Lose,2508,124,1800,"Low-carb diet: Breakfast - Eggs, Lunch - Chicken Salad, Dinner - Grilled Fish","Mixed: Cardio + Weightlifting, Yoga, HIIT"
Person_28,52,Male,165,54,19.834710743801654,1316.25,Gain,1865,83,2500,"Low-carb diet: Breakfast - Eggs, Lunch - Chicken Salad, Dinner - Grilled Fish","Weightlifting: Squats, Deadlifts, Bench Press"
Person_29,59,Male,177,62,19.789970953429727,1436.25,Gain,2531,158,2500,"High-protein diet: Breakfast - Protein Shake, Lunch - Steak, Dinner - Cottage Cheese","Mixed: Cardio + Weightlifting, Yoga, HIIT"
Person_30,30,Female,164,61,22.679952409280194,1324.0,Gain,2169,102,2500,"Low-carb diet: Breakfast - Eggs, Lunch - Chicken Salad, Dinner - Grilled Fish","Weightlifting: Squats, Deadlifts, Bench Press"
Person_31,29,Female,186,92,26.59266967279454,1776.5,Lose,2489,126,1800,"Balanced diet: Breakfast - Oatmeal, Lunch - Quinoa Salad, Dinner - Vegetable Stir Fry","Cardio: Running, Cycling, Swimming"
Person_32,28,Female,189,72,20.15621063240111,1600.25,Lose,2309,131,1800,"Balanced diet: Breakfast - Oatmeal, Lunch - Quinoa Salad, Dinner - Vegetable Stir Fry","Weightlifting: Squats, Deadlifts, Bench Press"
Person_33,57,Female,170,54,18.68512110726644,1156.5,Maintain,1807,141,2200,"High-protein diet: Breakfast - Protein Shake, Lunch - Steak, Dinner - Cottage Cheese","Weightlifting: Squats, Deadlifts, Bench Press"
Person_34,40,Male,187,86,24.59321112985787,1833.75,Gain,2160,114,2500,"Balanced diet: Breakfast - Oatmeal, Lunch - Quinoa Salad, Dinner - Vegetable Stir Fry","Cardio: Running, Cycling, Swimming"
Person_35,54,Female,175,51,16.653061224489797,1172.75,Gain,2848,92,2500,"Low-carb diet: Breakfast - Eggs, Lunch - Chicken Salad, Dinner - Grilled Fish","Cardio: Running, Cycling, Swimming"
Person_36,30,Female,165,76,27.915518824609737,1480.25,Lose,2487,79,1800,"Balanced diet: Breakfast - Oatmeal, Lunch - Quinoa Salad, Dinner - Vegetable Stir Fry","Weightlifting: Squats, Deadlifts, Bench Press"
Person_37,28,Female,177,81,25.854639471416256,1615.25,Maintain,2455,76,2200,"Low-carb diet: Breakfast - Eggs, Lunch - Chicken Salad, Dinner - Grilled Fish","Weightlifting: Squats, Deadlifts, Bench Press"
Person_38,25,Male,152,77,33.3275623268698,1600.0,Lose,2337,63,1800,"High-protein diet: Breakfast - Protein Shake, Lunch - Steak, Dinner - Cottage Cheese","Weightlifting: Squats, Deadlifts, Bench Press"
Person_39,18,Female,182,77,23.24598478444632,1656.5,Maintain,2331,137,2200,"Low-carb diet: Breakfast - Eggs, Lunch - Chicken Salad, Dinner - Grilled Fish","Mixed: Cardio + Weightlifting, Yoga, HIIT"
Person_40,49,Female,191,64,17.54337874510019,1427.75,Maintain,2877,149,2200,"Low-carb diet: Breakfast - Eggs, Lunch - Chicken Salad, Dinner - Grilled Fish","Cardio: Running, Cycling, Swimming"
Person_41,20,Female,183,80,23.888440980620498,1682.75,Maintain,2105,74,2200,"Balanced diet: Breakfast - Oatmeal, Lunch - Quinoa Salad, Dinner - Vegetable Stir Fry","Mixed: Cardio + Weightlifting, Yoga, HIIT"
Person_42,22,Male,152,81,35.05886426592798,1655.0,Gain,2265,148,2500,"Low-carb diet: Breakfast - Eggs, Lunch - Chicken Salad, Dinner - Grilled Fish","Cardio: Running, Cycling, Swimming"
Person_43,44,Male,181,67,20.45114617990904,1586.25,Gain,2510,147,2500,"Low-carb diet: Breakfast - Eggs, Lunch - Chicken Salad, Dinner - Grilled Fish","Mixed: Cardio + Weightlifting, Yoga, HIIT"
Person_44,32,Male,151,60,26.314635323012148,1388.75,Maintain,2915,146,2200,"Balanced diet: Breakfast - Oatmeal, Lunch - Quinoa Salad, Dinner - Vegetable Stir Fry","Weightlifting: Squats, Deadlifts, Bench Press"
Person_45,18,Female,173,72,24.0569347455645,1550.25,Lose,2298,153,1800,"High-protein diet: Breakfast - Protein Shake, Lunch - Steak, Dinner - Cottage Cheese","Mixed: Cardio + Weightlifting, Yoga, HIIT"
Person_46,57,Female,194,73,19.39632266978425,1496.5,Maintain,2272,101,2200,"Low-carb diet: Breakfast - Eggs, Lunch - Chicken Salad, Dinner - Grilled Fish","Weightlifting: Squats, Deadlifts, Bench Press"
Person_47,26,Male,184,73,21.561909262759922,1755.0,Maintain,1980,116,2200,"High-protein diet: Breakfast - Protein Shake, Lunch - Steak, Dinner - Cottage Cheese","Mixed: Cardio + Weightlifting, Yoga, HIIT"
Person_48,19,Female,189,93,26.035105400184765,1855.25,Lose,2670,126,1800,"Balanced diet: Breakfast - Oatmeal, Lunch - Quinoa Salad, Dinner - Vegetable Stir Fry","Weightlifting: Squats, Deadlifts, Bench Press"
Person_49,49,Male,193,90,24.161722462347985,1866.25,Lose,2398,61,1800,"Low-carb diet: Breakfast - Eggs, Lunch - Chicken Salad, Dinner - Grilled Fish","Weightlifting: Squats, Deadlifts, Bench Press"
Person_50,28,Female,193,63,16.91320572364359,1535.25,Lose,2573,126,1800,"Balanced diet: Breakfast - Oatmeal, Lunch - Quinoa Salad, Dinner - Vegetable Stir Fry","Weightlifting: Squats, Deadlifts, Bench Press"
Person_51,38,Female,198,51,13.008876645240282,1396.5,Maintain,2386,139,2200,"Low-carb diet: Breakfast - Eggs, Lunch - Chicken Salad, Dinner - Grilled Fish","Cardio: Running, Cycling, Swimming"
Person_52,38,Male,179,78,24.343809494085704,1713.75,Lose,2070,99,1800,"Balanced diet: Breakfast - Oatmeal, Lunch - Quinoa Salad, Dinner - Vegetable Stir Fry","Weightlifting: Squats, Deadlifts, Bench Press"
Person_53,47,Female,191,68,18.63983991666895,1477.75,Lose,1885,159,1800,"High-protein diet: Breakfast - Protein Shake, Lunch - Steak, Dinner - Cottage Cheese","Mixed: Cardio + Weightlifting, Yoga, HIIT"
Person_54,54,Female,178,85,26.82742078020452,1531.5,Lose,2078,135,1800,"Balanced diet: Breakfast - Oatmeal, Lunch - Quinoa Salad, Dinner - Vegetable Stir Fry","Mixed: Cardio + Weightlifting, Yoga, HIIT"
Person_55,32,Male,165,77,28.282828282828287,1646.25,Lose,2672,112,1800,"High-protein diet: Breakfast - Protein Shake, Lunch - Steak, Dinner - Cottage Cheese","Cardio: Running, Cycling, Swimming"
Person_56,47,Female,179,52,16.22920632939047,1242.75,Gain,2819,118,2500,"Balanced diet: Breakfast - Oatmeal, Lunch - Quinoa Salad, Dinner - Vegetable Stir Fry","Cardio: Running, Cycling, Swimming"
Person_57,41,Female,154,81,34.15415753078091,1406.5,Gain,2102,65,2500,"Balanced diet: Breakfast - Oatmeal, Lunch - Quinoa Salad, Dinner - Vegetable Stir Fry","Weightlifting: Squats, Deadlifts, Bench Press"
Person_58,21,Male,169,75,26.25958474843318,1706.25,Maintain,2807,152,2200,"High-protein diet: Breakfast - Protein Shake, Lunch - Steak, Dinner - Cottage Cheese","Weightlifting: Squats, Deadlifts, Bench Press"
Person_59,52,Female,183,79,23.589835468362743,1512.75,Maintain,2937,103,2200,"Balanced diet: Breakfast - Oatmeal, Lunch - Quinoa Salad, Dinner - Vegetable Stir Fry","Mixed: Cardio + Weightlifting, Yoga, HIIT"
Person_60,32,Male,183,81,24.187046492878256,1798.75,Lose,2789,69,1800,"Balanced diet: Breakfast - Oatmeal, Lunch - Quinoa Salad, Dinner - Vegetable Stir Fry","Mixed: Cardio + Weightlifting, Yoga, HIIT"
Person_61,36,Female,176,93,30.023243801652892,1689.0,Maintain,2745,95,2200,"Balanced diet: Breakfast - Oatmeal, Lunch - Quinoa Salad, Dinner - Vegetable Stir Fry","Mixed: Cardio + Weightlifting, Yoga, HIIT"
Person_62,43,Female,178,94,29.667971215755585,1676.5,Gain,2138,62,2500,"Low-carb diet: Breakfast - Eggs, Lunch - Chicken Salad, Dinner - Grilled Fish","Cardio: Running, Cycling, Swimming"
Person_63,53,Female,161,51,19.675166853130666,1090.25,Gain,2306,104,2500,"High-protein diet: Breakfast - Protein Shake, Lunch - Steak, Dinner - Cottage Cheese","Mixed: Cardio + Weightlifting, Yoga, HIIT"
Person_64,23,Female,171,53,18.125235115078144,1322.75,Maintain,2022,86,2200,"Balanced diet: Breakfast - Oatmeal, Lunch - Quinoa Salad, Dinner - Vegetable Stir Fry","Mixed: Cardio + Weightlifting, Yoga, HIIT"
Person_65,23,Female,174,63,20.808561236623067,1441.5,Maintain,2009,126,2200,"Balanced diet: Breakfast - Oatmeal, Lunch - Quinoa Salad, Dinner - Vegetable Stir Fry","Weightlifting: Squats, Deadlifts, Bench Press"
Person_66,52,Male,157,80,32.45567771512029,1526.25,Gain,2327,97,2500,"Low-carb diet: Breakfast - Eggs, Lunch - Chicken Salad, Dinner - Grilled Fish","Mixed: Cardio + Weightlifting, Yoga, HIIT"
Person_67,42,Female,151,54,23.683171790710933,1112.75,Gain,2440,149,2500,"Low-carb diet: Breakfast - Eggs, Lunch - Chicken Salad, Dinner - Grilled Fish","Mixed: Cardio + Weightlifting, Yoga, HIIT"
Person_68,21,Male,183,65,19.409358296754156,1693.75,Maintain,2252,163,2200,"Balanced diet: Breakfast - Oatmeal, Lunch - Quinoa Salad, Dinner - Vegetable Stir Fry","Weightlifting: Squats, Deadlifts, Bench Press"
Person_69,57,Male,154,69,29.094282341035587,1372.5,Maintain,1802,140,2200,"Balanced diet: Breakfast - Oatmeal, Lunch - Quinoa Salad, Dinner - Vegetable Stir Fry","Weightlifting: Squats, Deadlifts, Bench Press"
Person_70,46,Female,172,75,25.351541373715524,1434.0,Maintain,2651,86,2200,"Balanced diet: Breakfast - Oatmeal, Lunch - Quinoa Salad, Dinner - Vegetable Stir Fry","Mixed: Cardio + Weightlifting, Yoga, HIIT"
Person_71,39,Female,184,98,28.946124763705104,1774.0,Maintain,2184,136,2200,"Low-carb diet: Breakfast - Eggs, Lunch - Chicken Salad, Dinner - Grilled Fish","Weightlifting: Squats, Deadlifts, Bench Press"
Person_72,50,Female,196,62,16.139108704706373,1434.0,Maintain,2719,67,2200,"Low-carb diet: Breakfast - Eggs, Lunch - Chicken Salad, Dinner - Grilled Fish","Weightlifting: Squats, Deadlifts, Bench Press"
Person_73,26,Male,164,85,31.603212373587155,1750.0,Maintain,2445,120,2200,"Balanced diet: Breakfast - Oatmeal, Lunch - Quinoa Salad, Dinner - Vegetable Stir Fry","Mixed: Cardio + Weightlifting, Yoga, HIIT"
Person_74,27,Male,194,82,21.787650122223404,1902.5,Lose,2025,128,1800,"High-protein diet: Breakfast - Protein Shake, Lunch - Steak, Dinner - Cottage Cheese","Weightlifting: Squats, Deadlifts, Bench Press"
Person_75,44,Female,180,89,27.469135802469133,1634.0,Gain,2973,160,2500,"High-protein diet: Breakfast - Protein Shake, Lunch - Steak, Dinner - Cottage Cheese","Weightlifting: Squats, Deadlifts, Bench Press"
Person_76,22,Male,157,96,38.946813258144346,1836.25,Maintain,2771,84,2200,"Low-carb diet: Breakfast - Eggs, Lunch - Chicken Salad, Dinner - Grilled Fish","Mixed: Cardio + Weightlifting, Yoga, HIIT"
Person_77,33,Female,186,50,14.452537865649207,1336.5,Lose,2050,83,1800,"Low-carb diet: Breakfast - Eggs, Lunch - Chicken Salad, Dinner - Grilled Fish","Cardio: Running, Cycling, Swimming"
Person_78,45,Male,157,50,20.28479857195018,1261.25,Gain,2876,106,2500,"High-protein diet: Breakfast - Protein Shake, Lunch - Steak, Dinner - Cottage Cheese","Mixed: Cardio + Weightlifting, Yoga, HIIT"
Person_79,31,Male,172,56,18.92915089237426,1485.0,Maintain,2175,84,2200,"Low-carb diet: Breakfast - Eggs, Lunch - Chicken Salad, Dinner - Grilled Fish","Mixed: Cardio + Weightlifting, Yoga, HIIT"
Person_80,34,Female,174,52,17.17532038578412,1276.5,Lose,2431,170,1800,"Low-carb diet: Breakfast - Eggs, Lunch - Chicken Salad, Dinner - Grilled Fish","Mixed: Cardio + Weightlifting, Yoga, HIIT"
Person_81,18,Female,192,76,20.616319444444446,1709.0,Gain,2195,141,2500,"High-protein diet: Breakfast - Protein Shake, Lunch - Steak, Dinner - Cottage Cheese","Cardio: Running, Cycling, Swimming"
Person_82,46,Female,163,79,29.733900410252552,1417.75,Lose,2940,175,1800,"Low-carb diet: Breakfast - Eggs, Lunch - Chicken Salad, Dinner - Grilled Fish","Mixed: Cardio + Weightlifting, Yoga, HIIT"
Person_83,22,Female,177,59,18.832391713747644,1425.25,Maintain,2097,83,2200,"High-protein diet: Breakfast - Protein Shake, Lunch - Steak, Dinner - Cottage Cheese","Mixed: Cardio + Weightlifting, Yoga, HIIT"
Person_84,37,Female,196,82,21.345272802998753,1699.0,Lose,2292,147,1800,"Balanced diet: Breakfast - Oatmeal, Lunch - Quinoa Salad, Dinner - Vegetable Stir Fry","Weightlifting: Squats, Deadlifts, Bench Press"
Person_85,41,Male,150,99,44.0,1727.5,Maintain,2402,142,2200,"High-protein diet: Breakfast - Protein Shake, Lunch - Steak, Dinner - Cottage Cheese","Mixed: Cardio + Weightlifting, Yoga, HIIT"
Person_86,35,Male,187,69,19.73176241814178,1688.75,Gain,2973,163,2500,"High-protein diet: Breakfast - Protein Shake, Lunch - Steak, Dinner - Cottage Cheese","Cardio: Running, Cycling, Swimming"
Person_87,50,Female,173,67,22.386314277122523,1340.25,Lose,1851,86,1800,"Low-carb diet: Breakfast - Eggs, Lunch - Chicken Salad, Dinner - Grilled Fish","Weightlifting: Squats, Deadlifts, Bench Press"
Person_88,35,Male,181,65,19.840664204389366,1611.25,Maintain,2676,69,2200,"Low-carb diet: Breakfast - Eggs, Lunch - Chicken Salad, Dinner - Grilled Fish","Mixed: Cardio + Weightlifting, Yoga, HIIT"
Person_89,41,Male,158,59,23.634033007530842,1377.5,Maintain,2345,87,2200,"Balanced diet: Breakfast - Oatmeal, Lunch - Quinoa Salad, Dinner - Vegetable Stir Fry","Cardio: Running, Cycling, Swimming"
Person_90,58,Male,199,78,19.696472311305268,1738.75,Lose,2288,92,1800,"Balanced diet: Breakfast - Oatmeal, Lunch - Quinoa Salad, Dinner - Vegetable Stir Fry","Cardio: Running, Cycling, Swimming"
Person_91,20,Female,198,90,22.95684113865932,1876.5,Maintain,2181,155,2200,"Low-carb diet: Breakfast - Eggs, Lunch - Chicken Salad, Dinner - Grilled Fish","Cardio: Running, Cycling, Swimming"
Person_92,52,Male,178,97,30.614821360939274,1827.5,Lose,2834,108,1800,"Low-carb diet: Breakfast - Eggs, Lunch - Chicken Salad, Dinner - Grilled Fish","Mixed: Cardio + Weightlifting, Yoga, HIIT"
Person_93,44,Male,176,90,29.054752066115704,1785.0,Maintain,2228,102,2200,"High-protein diet: Breakfast - Protein Shake, Lunch - Steak, Dinner - Cottage Cheese","Mixed: Cardio + Weightlifting, Yoga, HIIT"
Person_94,39,Male,187,99,28.310789556464293,1968.75,Lose,2732,121,1800,"Low-carb diet: Breakfast - Eggs, Lunch - Chicken Salad, Dinner - Grilled Fish","Cardio: Running, Cycling, Swimming"
Person_95,38,Male,187,86,24.59321112985787,1843.75,Gain,2190,69,2500,"Low-carb diet: Breakfast - Eggs, Lunch - Chicken Salad, Dinner - Grilled Fish","Cardio: Running, Cycling, Swimming"
Person_96,40,Male,163,59,22.20633068613798,1413.75,Gain,2695,93,2500,"Low-carb diet: Breakfast - Eggs, Lunch - Chicken Salad, Dinner - Grilled Fish","Weightlifting: Squats, Deadlifts, Bench Press"
Person_97,18,Male,168,95,33.6592970521542,1915.0,Lose,1867,148,1800,"Low-carb diet: Breakfast - Eggs, Lunch - Chicken Salad, Dinner - Grilled Fish","Cardio: Running, Cycling, Swimming"
Person_98,26,Female,179,89,27.776910832995224,1717.75,Lose,2943,88,1800,"Balanced diet: Breakfast - Oatmeal, Lunch - Quinoa Salad, Dinner - Vegetable Stir Fry","Mixed: Cardio + Weightlifting, Yoga, HIIT"
Person_99,54,Male,156,62,25.476660092044707,1330.0,Maintain,2344,170,2200,"Balanced diet: Breakfast - Oatmeal, Lunch - Quinoa Salad, Dinner - Vegetable Stir Fry","Mixed: Cardio + Weightlifting, Yoga, HIIT"
